time,symbol,price,size,notional,side,spot,delta,gamma,vega,theta,volatility
2026-06-19T14:40:33.094000,.XSP260918P755,22.22,30,66660.0,sell,750.06,-0.4765032261513281,0.006950768525187396,150.55697648179614,-45.649727830042565,
2026-06-22T13:30:05.384000,.AAPL260918C305,12.8,38,48640.0,buy,297.7972,0.44990007386314,0.009495344186208728,57.75173691002773,-34.108526829107845,
2026-06-22T13:30:05.421000,.ASML280121C1900,620.0,1,62000.0,sell,1953.4683,0.663755638204544,0.0002408223532755794,896.3282587358239,-174.42639689755183,
2026-06-22T13:30:05.424000,.GME270115C50,0.44,700,30800.0,sell,21.365,0.21738503149423882,0.018617672135579067,4.75152462298858,-4.088728497974783,
2026-06-22T13:30:05.424000,.GME260918C30,0.46,700,32200.0,sell,21.365,0.12358696767542543,0.03651145186518832,2.1532597419224446,-2.3616624102684756,
2026-06-22T13:30:05.428000,.MULL270319C200,868.4,1,86840.0,buy,1047.1118,0.9999786752091656,2.0526214367125176e-07,0.08304278083290148,-0.027840359841755803,
2026-06-22T13:30:05.428000,.MULL260918C850,444.48,1,44448.0,buy,1047.1118,0.7445516277853048,0.000434233873404556,166.5940408486181,-491.83412360172446,
2026-06-22T13:30:05.428000,.MULL260918C260,791.31,1,79131.0,sell,1047.1118,0.9999176819911217,7.982160646950457e-07,0.17087780966341162,-0.28149734540643545,
2026-06-22T13:30:05.428000,.MULL261218C925,522.57,1,52257.0,sell,1047.1118,0.7379861869248447,0.0003035838344287606,240.57952089527956,-355.53624031515943,
2026-06-22T13:30:05.436000,.MU260710C1020,222.26,50,1111300.0,buy,1195.8585,0.870830373459661,0.0012142592100287813,56.09616115979244,-364.55936446022827,
2026-06-22T13:30:05.436000,.MU260710C995,240.26,50,1201300.0,sell,1195.8585,0.9352608241705758,0.0008634708313486612,33.66675868508665,-184.65808239926665,
2026-06-22T13:30:05.448000,.MU260702C1200,99.58,13,129454.0,sell,1195.8585,0.4795663077582199,0.003802068708828905,79.5916754414845,-740.7122909475949,
